16:36:59.512207 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 957116:957264, ack 541, win 313, length 148
16:36:59.512314 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 957264:957412, ack 541, win 313, length 148
16:36:59.512426 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 957412:957560, ack 541, win 313, length 148
16:36:59.512535 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 957560:957708, ack 541, win 313, length 148
16:36:59.512644 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 957708:957856, ack 541, win 313, length 148
16:36:59.512787 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 957856:958004, ack 541, win 313, length 148
16:36:59.512925 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 958004:958152, ack 541, win 313, length 148
16:36:59.513105 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 958152:958300, ack 541, win 313, length 148
16:36:59.513225 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 958300:958448, ack 541, win 313, length 148
16:36:59.513333 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 958448:958596, ack 541, win 313, length 148
16:36:59.513444 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 958596:958744, ack 541, win 313, length 148
16:36:59.513554 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 958744:958892, ack 541, win 313, length 148
16:36:59.513662 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 958892:959040, ack 541, win 313, length 148
16:36:59.513804 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 959040:959188, ack 541, win 313, length 148
16:36:59.514099 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 959188:959336, ack 541, win 313, length 148
16:36:59.514253 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 959336:959484, ack 541, win 313, length 148
16:36:59.514485 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 959484:959632, ack 541, win 313, length 148
16:36:59.514664 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 959632:959780, ack 541, win 313, length 148
16:36:59.514834 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 959780:959928, ack 541, win 313, length 148
16:36:59.514957 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 959928:960076, ack 541, win 313, length 148
16:36:59.515066 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 960076:960224, ack 541, win 313, length 148
16:36:59.515216 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 960224:960372, ack 541, win 313, length 148
16:36:59.515331 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 960372:960520, ack 541, win 313, length 148
16:36:59.515440 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 960520:960668, ack 541, win 313, length 148
16:36:59.515546 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 960668:960816, ack 541, win 313, length 148
16:36:59.515694 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 960816:960964, ack 541, win 313, length 148
16:36:59.515858 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 960964:961112, ack 541, win 313, length 148
16:36:59.515977 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 961112:961260, ack 541, win 313, length 148
16:36:59.516086 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 961260:961408, ack 541, win 313, length 148
16:36:59.516194 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 961408:961556, ack 541, win 313, length 148
16:36:59.516312 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 961556:961704, ack 541, win 313, length 148
16:36:59.516478 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 961704:961852, ack 541, win 313, length 148
16:36:59.523246 IP 198.96.85.163.21490 > week1.ssh: Flags [P.], seq 541:577, ack 946068, win 512, length 36
16:36:59.523282 IP 198.96.85.163.21490 > week1.ssh: Flags [.], ack 950804, win 512, length 0
16:36:59.523326 IP week1.ssh > 198.96.85.163.21490: Flags [P.], seq 961852:962000, ack 577, win 313, length 148
